year,month,spec,la2,lo2,pods
2007,7,mn,67.6305,-22.255,2
2007,7,mn,67.4356,-21.46,2
2007,7,mn,67.4242,-21.4131,2
2007,7,mn,67.4152,-21.3769,2
2007,7,mn,67.4152,-21.3767,2
2007,7,mn,67.3974,-21.2758,1
2007,7,mn,67.3911,-21.2552,1
2007,7,mn,67.2617,-20.8233,2
2007,7,mn,67.2548,-20.7959,2
2007,7,mn,67.2442,-20.7524,2
2007,7,mn,67.2022,-20.5872,3
2007,7,mn,67.1968,-20.5669,1
2007,7,mn,67.1798,-20.5058,1
2007,7,mn,67.0886,-20.141,5
2007,7,mn,67.032,-19.9347,2
2007,7,mn,66.9801,-24.2517,2
2007,7,mn,66.9605,-24.247,1
2007,7,mn,66.9416,-24.2481,2
2007,7,mn,66.8847,-24.3408,3
2007,7,mn,66.8882,-24.3866,1
2007,7,mn,66.8891,-24.3997,1
2007,7,mn,66.8928,-24.4589,5
2007,7,mn,66.8947,-24.5092,4
2007,7,mn,66.8957,-24.545,2
2007,7,mn,66.8958,-24.549,1
2007,7,mn,66.896,-24.556,2
2007,7,mn,66.8964,-24.5737,1
2007,7,mn,66.898,-24.6422,1
2007,7,mn,66.898,-24.6437,3
2007,7,mn,66.8982,-24.6502,1
2007,7,mn,66.899,-24.68,1
2007,7,mn,66.9017,-24.7602,1
2007,7,mn,66.9026,-24.783,1
2007,7,mn,66.9049,-24.875,2
2007,7,mn,65.8879,-27.6698,2
2007,7,mn,65.8722,-27.5023,1
2007,7,mn,65.8499,-27.2882,1
