year,month,spec,la2,lo2,pods,bat1,chlor0703,chlor0704,chlor0705,chlor0706,chlor0707,chlor0708,mlotst0703,mlotst0704,mlotst0705,mlotst0706,mlotst0707,mlotst0708,sst0703,sst0704,sst0705,sst0706,sst0707,sst0708
"2007","7",mn,67.6305000000,-22.2550000000,"2",-625.0000000000,0.2704615593,0.3275554180,1.0726385117,0.5056506991,0.4351852238,0.4554827213,78.2799835210,16.1748104100,23.4992542270,11.2918491360,11.4444417950,13.7333297730,275.1098327600,273.8530578600,274.9825439500,276.4685974100,279.1872558600,280.2537536600
"2007","7",mn,67.4356000000,-21.4600000000,"2",-541.0000000000,0.2637597323,0.2807941735,1.1877244711,0.4909945726,0.4064664245,0.4973296523,107.8829345700,16.6325893400,23.1940689090,10.9866638180,10.8340711590,12.6651821140,275.7064514200,273.9910278300,275.5487670900,277.7167358400,279.6190795900,280.1810607900
"2007","7",mn,67.4242000000,-21.4131000000,"2",-524.0000000000,0.2688615918,0.2918152809,1.1473265886,0.4944706559,0.4207602739,0.4914861918,108.4933090200,16.6325893400,22.4311046600,10.9866638180,10.8340711590,12.6651821140,275.7064514200,273.9910278300,275.5487670900,277.7167358400,279.6190795900,280.1810607900
"2007","7",mn,67.4152000000,-21.3769000000,"2",-496.0000000000,0.2688615918,0.2918152809,1.1473265886,0.4944706559,0.4207602739,0.4914861918,108.4933090200,16.6325893400,22.4311046600,10.9866638180,10.8340711590,12.6651821140,275.7531738300,273.7618103000,275.5857849100,277.6477050800,279.7039794900,280.2596435500
"2007","7",mn,67.4152000000,-21.3767000000,"2",-496.0000000000,0.2688615918,0.2918152809,1.1473265886,0.4944706559,0.4207602739,0.4914861918,108.4933090200,16.6325893400,22.4311046600,10.9866638180,10.8340711590,12.6651821140,275.7531738300,273.7618103000,275.5857849100,277.6477050800,279.7039794900,280.2596435500
"2007","7",mn,67.3974000000,-21.2758000000,"1",-349.0000000000,0.2609013319,0.2954280376,1.0662915707,0.5281879902,0.4320110679,0.4731280506,112.4607162500,17.5481433870,23.3466606140,11.1392564770,10.8340711590,12.8177747730,275.8094787600,273.6407165500,275.6300048800,277.5704040500,279.7611389200,280.3351135300
"2007","7",mn,67.3911000000,-21.2552000000,"1",-342.0000000000,0.2609013319,0.2954280376,1.0662915707,0.5281879902,0.4320110679,0.4731280506,112.4607162500,17.5481433870,23.3466606140,11.1392564770,10.8340711590,12.8177747730,275.8094787600,273.6407165500,275.6300048800,277.5704040500,279.7611389200,280.3351135300
"2007","7",mn,67.2617000000,-20.8233000000,"2",-285.0000000000,0.2621686459,0.3469973207,0.9572414160,0.8382655978,0.5297747254,0.4977319837,187.8414306600,14.0385150910,37.9955444340,11.1392564770,12.9703674320,11.5970344540,276.3843383800,273.2107849100,276.2367248500,276.6642761200,279.2738342300,279.7098388700
"2007","7",mn,67.2548000000,-20.7959000000,"2",-282.0000000000,0.2621686459,0.3469973207,0.9572414160,0.8382655978,0.5297747254,0.4977319837,187.8414306600,14.0385150910,37.9955444340,11.1392564770,12.9703674320,11.5970344540,276.3881835900,273.2948913600,276.2236633300,276.8051147500,279.2655944800,279.7197265600
"2007","7",mn,67.2442000000,-20.7524000000,"2",-277.0000000000,0.2504518032,0.3396852613,1.0322995186,0.8703097701,0.5027082562,0.4912609458,197.4547729500,14.1911077500,36.9273986820,11.1392564770,12.8177747730,11.5970344540,276.3881835900,273.2948913600,276.2236633300,276.8051147500,279.2655944800,279.7197265600
