fid,PA_rast,bat_reclas,mlotst_08,mlotst_07,mlotst_06,mlotst_05,mlotst_04,mlotst_03,chlor_0108,chlor_0107,chlor_0106,chlor_0105,chlor_0104,chlor_0103,sst_0108,sst_0107,sst_0106,sst_0105,sst_0104,sst_0103,Long,Lat
"1",0,-398,12.97037,10.52889,10.52889,10.68148,45.0148,32.65481,0.3465,0.45328,,,,,275.27893,,,,,,-25.791795,67.958355
"2",0,-814,13.12296,10.52889,10.52889,11.44444,39.52147,32.8074,0.33495,0.44804,,,,,275.21988,,,,,,-25.541805,67.958355
"3",0,-933,12.36,10.52889,10.52889,11.59703,33.87555,34.9437,0.33331,0.44474,,,,,275.22931,,,,,,-25.458475,67.958355
"4",0,-1005,11.90222,10.52889,10.52889,11.59703,30.6711,37.53777,0.32626,0.45717,,,,,275.15332,,,,,,-25.375145,67.958355
"5",0,-1429,12.51259,10.52889,10.52889,10.83407,36.9274,42.57332,0.3452,0.49237,,,,,275.45667,274.56345,,,,,-23.875205,67.958355
"6",0,-973,10.83407,10.83407,10.98666,10.98666,16.17481,45.1674,0.82026,0.32568,0.71824,,,0.18052,278.88138,277.99841,275.57443,272.62775,,273.85745,-20.542005,67.958355
"7",0,-979,10.68148,10.83407,10.98666,10.98666,16.17481,45.77777,0.85138,0.32741,0.7807,0.81855,,0.19542,278.90369,277.84814,275.66241,272.59879,,273.83362,-20.458675,67.958355
"8",0,-1056,10.68148,10.68148,10.98666,10.68148,31.43407,66.68295,0.51589,0.3134,0.41695,0.33197,0.21638,,278.78058,277.29822,274.70728,273.62866,,273.53284,-18.958735,67.958355
"9",0,-1141,10.68148,10.98666,11.29185,11.29185,31.89184,70.03999,0.39077,0.29142,0.54437,0.22981,0.23233,,278.65366,277.79437,274.61139,273.40271,,273.73074,-17.792115,67.958355
"10",0,-1109,10.83407,10.68148,12.66518,11.90222,38.45332,76.60146,0.3701,0.25458,0.63235,0.28443,0.23053,,278.983,277.64474,274.72385,273.29059,273.26535,273.33395,-16.625495,67.958355
