fid,PA,chlor_0108,chlor_0107,chlor_0106,chlor_0105,chlor_0104,chlor_0103,mlotst_108,mlotst_107,mlotst_106,mlotst_105,mlotst_104,mlotst_103,sst_0108,sst_0107,sst_0106,sst_0105,sst_0104,sst_0103,bat,Long,Lat
"1",0,0.82026,0.32568,0.71824,,,0.18052,10.83407,10.83407,11.44444,11.59703,13.73333,76.14368,278.88138,277.99841,275.57443,272.62775,,273.85745,-973,-20.5416666666667,67.9583333333333
"2",0,0.85138,0.32741,0.7807,0.81855,,0.19542,10.83407,10.83407,11.59703,11.59703,13.58074,76.90665,278.90369,277.84814,275.66241,272.59879,,273.83362,-979,-20.4583333333333,67.9583333333333
"3",0,0.39077,0.29142,0.54437,0.22981,0.23233,,10.83407,10.98666,11.29185,12.51259,38.60592,86.51998,278.65366,277.79437,274.61139,273.40271,,273.73074,-1141,-17.7916666666667,67.9583333333333
"4",0,0.39067,0.26065,0.70224,0.29511,0.22973,0.22375,11.44444,10.83407,13.58074,13.73333,50.35554,89.87701,279.06857,277.74075,274.81519,273.24948,273.25174,273.27588,-1104,-16.4583333333333,67.9583333333333
"5",0,0.3844,0.26964,0.71127,0.30367,0.23822,0.22166,11.59703,10.83407,13.88592,14.49629,53.40739,92.47108,279.08008,277.79788,274.87708,273.27982,273.24847,273.25607,-1235,-16.375,67.9583333333333
"6",0,,1.73775,0.28167,0.83704,0.37155,0.30795,12.36,10.68148,14.19111,25.48296,113.52886,128.63553,280.16058,279.28375,275.36508,273.46109,272.57938,272.65335,-1835,-12.7083333333333,67.9583333333333
"7",1,,1.8949,0.27595,0.81009,0.34781,0.31734,12.51259,10.68148,14.19111,25.78814,115.97034,131.68738,280.18625,279.28513,275.36981,273.46014,272.5694,272.65884,-1837,-12.625,67.9583333333333
"8",1,,1.4414,0.27722,0.80245,0.33939,0.31691,12.51259,10.83407,14.03852,25.94073,124.51553,135.19701,280.20892,279.27798,275.38528,273.4588,272.56021,272.66312,-1841,-12.5416666666667,67.9583333333333
"9",0,,1.35406,0.27767,0.87726,0.37235,0.30066,12.66518,10.83407,14.19111,26.09333,130.00885,149.54071,280.23038,279.26569,275.41138,273.45633,272.54785,272.66711,-1843,-12.4583333333333,67.9583333333333
"10",1,0.28294,1.52792,0.27171,0.84843,0.39922,0.2897,12.66518,10.83407,14.3437,26.39851,137.02811,159.15404,280.24615,279.25021,275.44135,273.45523,272.53534,272.66901,-1843,-12.375,67.9583333333333
