fid,PA,bat,mlotst_708,mlotst_707,mlotst_706,mlotst_705,mlotst_704,mlotst_703,chlor_0708,chlor_0707,chlor_0706,chlor_0705,chlor_0704,chlor_0703,sst_0708,sst_0707,sst_0706,sst_0705,sst_0704,sst_0703,Long,Lat
"1",0,-1790,17.70074,11.44444,11.59703,28.6874,68.05628,118.8696,0.29462,0.24769,0.37366,0.52667,0.26688,0.23766,280.5423,279.78421,277.15543,274.16544,273.29648,273.02612,-12.542325,67.708365
"2",0,-621,13.88592,11.29185,11.59703,25.33036,16.78518,65.00443,0.45815,0.45994,0.42798,1.0487,0.27224,0.25521,280.33417,279.1618,276.68658,275.03531,273.80716,275.45758,-22.375265,67.625035
"3",1,-623,13.73333,11.29185,11.44444,24.5674,16.63259,71.41331,0.46839,0.44481,0.45781,1.06581,0.30157,0.27733,280.36154,279.25919,276.70343,275.08478,273.93417,275.46176,-22.291935,67.625035
"4",0,-618,13.73333,11.44444,11.29185,23.49925,16.17481,78.27998,0.47205,0.43428,0.61627,1.1102,0.31265,0.27329,280.35172,279.3353,276.76508,275.12863,274.03415,275.44879,-22.208605,67.625035
"5",0,-617,13.88592,11.44444,11.29185,22.4311,14.95407,85.14664,0.47339,0.45462,0.6318,1.11193,0.3122,0.27141,280.3317,279.39297,276.88254,275.14706,274.1059,275.36667,-22.125275,67.625035
"6",0,-1770,17.54814,11.29185,11.74963,28.6874,70.19257,114.44441,0.31242,0.25878,0.35283,0.4956,0.2766,0.21659,280.56244,279.9292,277.16632,274.17056,273.18561,272.9649,-12.458995,67.625035
"7",0,-1773,17.39555,11.29185,11.74963,28.83999,70.34517,113.07108,0.31009,0.26326,0.35162,0.47519,0.27306,0.21166,280.58838,279.95013,277.17041,274.16129,273.18738,272.96921,-12.375665,67.625035
"8",0,-562,14.19111,10.83407,11.13926,23.65185,14.49629,86.82516,0.48548,0.4568,0.55124,1.01426,0.28613,0.2579,280.29129,279.40552,277.22452,275.38013,274.33163,275.62076,-22.041945,67.541705
"9",0,-580,14.19111,10.98666,11.13926,23.34666,14.49629,91.70812,0.48258,0.37887,0.49654,1.10059,0.29502,0.25355,280.29987,279.45926,277.48483,275.37918,274.33762,275.55164,-21.958615,67.541705
"10",0,-592,14.19111,11.13926,11.13926,23.04148,14.64889,95.37035,0.47857,0.33085,0.44937,1.18663,0.3029,0.25122,280.31625,279.51587,277.71262,275.36859,274.32346,275.35309,-21.875285,67.541705
"11",0,-1729,16.48,11.13926,11.44444,27.00888,73.09184,99.64294,0.28673,0.25807,0.35147,0.47565,0.29456,0.19535,280.59158,280.07486,277.19302,274.14557,273.09555,272.94162,-12.292335,67.541705
"12",0,-1695,16.3274,11.13926,11.59703,26.7037,73.39702,96.74368,0.29347,0.2767,0.36142,0.54509,0.29341,0.18982,280.60846,280.07327,277.18811,274.13824,273.12057,272.95389,-12.209005,67.541705
"13",0,-1673,16.3274,11.29185,11.59703,26.09333,73.24442,92.77628,0.30082,0.31767,0.35744,0.53766,0.26049,0.19327,280.62079,280.05545,277.18118,274.13632,273.14185,272.96698,-12.125675,67.541705
"14",0,-558,13.27555,10.83407,10.98666,23.80444,15.86963,98.11701,0.48908,0.32755,0.43244,1.26928,0.27697,0.26214,280.06311,279.38745,277.8201,275.44711,274.48651,275.59247,-21.791955,67.458375
"15",0,-568,13.27555,11.13926,11.13926,21.82074,16.02222,97.04887,0.48652,0.30847,0.39054,1.23717,0.26988,0.2539,280.10443,279.44897,277.9715,275.44992,274.48877,275.47565,-21.708625,67.458375
"16",0,-577,13.27555,11.29185,11.13926,20.75259,15.86963,93.99702,0.4771,0.30937,0.38597,1.10918,0.26309,0.25249,280.15701,279.5264,278.0379,275.46436,274.4834,275.41647,-21.625295,67.458375
"17",0,-578,13.12296,11.29185,11.44444,20.4474,15.56444,90.48739,0.48905,0.31853,0.35424,1.1467,0.27086,0.2412,280.21628,279.62155,278.0647,275.47748,274.47812,275.42844,-21.541965,67.458375
"18",1,-569,13.12296,11.29185,11.59703,22.27851,15.10666,86.97775,0.47875,0.32749,0.36753,1.22064,0.29045,0.26299,280.28278,279.72137,278.05457,275.49258,274.16833,275.4407,-21.458635,67.458375
"19",1,-563,12.97037,10.98666,11.74963,22.88888,14.80148,85.14664,0.47151,0.33335,0.34323,1.20175,0.29795,0.26394,280.35196,279.8118,278.01007,275.51154,273.7865,275.48254,-21.375305,67.458375
"20",0,-1660,17.24296,10.98666,11.44444,23.80444,72.48146,84.23109,0.2908,0.31194,0.38261,0.60518,0.28842,0.19397,280.61395,280.01279,277.18619,274.1907,273.19351,273.02914,-12.042345,67.458375
"21",1,-348,12.66518,10.83407,10.98666,22.4311,16.63259,108.49331,0.50442,0.51861,0.63408,1.0544,0.29508,0.28066,280.10233,279.52341,277.38364,275.61536,273.90781,275.97964,-21.375305,67.375045
"22",1,-346,12.66518,10.83407,11.13926,22.88888,16.93777,110.01923,0.48596,0.52197,0.68708,0.99289,0.29256,0.27374,280.19241,279.59979,277.28897,275.66089,273.61246,276.01828,-21.291975,67.375045
"23",0,-331,12.81777,10.83407,11.13926,23.34666,17.54814,112.46072,0.46443,0.50326,0.76215,1.06368,0.28227,0.27708,280.2706,279.63721,277.20834,275.70999,273.55014,276.05975,-21.208645,67.375045
"24",0,-327,12.66518,10.83407,11.13926,23.80444,18.61629,118.25923,0.46227,0.52814,0.83003,1.04783,0.3057,0.26573,280.33044,279.64523,277.15979,275.76453,273.48193,276.12305,-21.125315,67.375045
"25",0,-1588,18.00592,10.98666,11.44444,23.34666,62.41035,85.60442,0.29942,0.54039,0.68071,0.59962,0.29206,0.20384,280.63068,279.94992,277.24637,274.30414,273.27597,273.09982,-11.959015,67.375045
"26",0,-1582,18.00592,10.98666,11.44444,23.19407,62.25776,85.90961,0.30334,0.70289,0.7295,0.62813,0.28071,0.20548,280.64169,279.95624,277.2229,274.32855,273.29303,273.11035,-11.875685,67.375045
"27",0,-1590,18.15851,10.98666,11.44444,23.04148,62.41035,86.51998,0.30305,0.94348,0.50798,0.66039,0.27756,0.18519,280.65359,279.96191,277.19452,274.35004,273.3074,273.11755,-11.792355,67.375045
"28",0,-289,11.74963,11.29185,10.98666,28.83999,16.02222,149.54071,0.47572,0.57489,0.79674,1.08827,0.34751,0.27918,279.89658,279.39377,276.58032,276.02481,273.33908,276.31912,-21.041985,67.291715
"29",0,-276,11.74963,11.29185,10.98666,28.6874,17.24296,154.42366,0.47877,0.58275,0.79157,1.11389,0.36523,0.28212,279.91034,279.34528,276.65826,276.05408,273.30478,276.31299,-20.958655,67.291715
"30",0,-275,11.74963,11.29185,10.98666,28.83999,18.92148,159.30663,0.48124,0.566,0.82287,1.05129,0.3463,0.2923,279.90326,279.31937,276.79791,276.07825,273.186,276.3266,-20.875325,67.291715
"31",1,-279,11.74963,11.29185,10.98666,29.14518,21.05777,165.25774,0.4865,0.50426,0.90625,0.95813,0.36136,0.25722,279.89316,279.31305,276.96497,276.10538,273.27884,276.33804,-20.791995,67.291715
"32",0,-1557,17.85333,10.98666,11.44444,21.97333,52.03406,79.9585,0.31257,0.80966,0.95114,0.65555,0.2709,0.21492,280.71225,280.04706,277.34451,274.4415,273.35522,273.13968,-11.709025,67.291715
"33",0,-1563,17.85333,10.98666,11.44444,21.51555,51.2711,80.72146,0.34385,1.04114,0.7443,0.64505,0.28019,0.22743,280.72766,280.03552,277.30853,274.44897,273.36664,273.14417,-11.625695,67.291715
"34",1,-266,11.59703,12.97037,11.13926,37.99554,14.03852,187.84143,0.50242,0.47055,0.85813,0.89919,0.34487,0.24506,279.51764,279.18661,276.46902,276.34525,273.15976,276.42615,-20.791995,67.208385
"35",0,-247,11.59703,12.81777,11.13926,36.9274,14.19111,197.45477,0.49203,0.54065,0.8992,0.93691,0.3273,0.24183,279.55231,279.17795,276.59592,276.28918,273.22394,276.42712,-20.708665,67.208385
"36",1,-247,11.44444,12.51259,10.98666,35.85925,14.64889,201.26958,0.48395,0.55273,0.80421,0.89988,0.3246,0.25953,279.59521,279.21375,276.73721,276.23523,273.33493,276.41544,-20.625335,67.208385
"37",1,-242,11.44444,12.2074,10.98666,34.7911,15.25926,200.04884,0.4861,0.57382,0.86099,0.92911,0.33304,0.26472,279.65009,279.28546,276.86841,276.20416,273.41754,276.3819,-20.542005,67.208385
"38",0,-253,11.44444,12.05481,10.98666,33.72295,16.02222,194.86069,0.48817,0.58102,0.8762,1.1589,0.33677,0.26273,279.7355,279.37445,276.98877,276.19196,273.53839,276.32986,-20.458675,67.208385
"39",0,-1565,17.09037,10.98666,11.29185,21.36296,48.67702,79.34813,0.32725,0.36311,0.47416,0.73103,0.28211,0.23408,280.77536,279.98175,277.52194,274.50827,273.36386,273.19977,-11.542365,67.208385
"40",0,-1576,17.24296,10.83407,11.29185,21.05777,48.67702,80.41628,0.32875,0.43639,0.6025,0.6574,0.26277,0.24411,280.78717,279.94379,277.48529,274.51315,273.37845,273.21753,-11.459035,67.208385
"41",0,-712,11.74963,10.98666,10.68148,25.94073,13.88592,58.44295,0.43824,0.48559,0.47615,0.28256,0.26209,0.23303,277.47955,278.04092,274.62228,274.13583,273.4603,276.08368,-24.291855,67.125055
