fid,PA,bat,mlotst_158,mlotst_157,mlotst_156,mlotst_155,mlotst_154,mlotst_153,sst_1508,sst_1507,sst_1506,sst_1505,sst_1504,sst_1503,chlor_1508,chlor_1507,chlor_1506,chlor_1505,chlor_1504,chlor_1503,Lat,Long
"1",0,-398,16.78518,11.74963,13.42814,16.02222,20.59999,25.78814,275.15793,274.76526,,,,,0.39797,0.39321,,,,,67.9583333333333,-25.7916666666667
"2",0,-814,19.83703,11.90222,13.42814,16.93777,22.4311,25.33036,274.87375,274.66833,,,,,0.39998,0.41597,,,,0.17014,67.9583333333333,-25.5416666666667
"3",0,-933,20.59999,12.05481,13.27555,17.09037,22.88888,26.24592,274.78925,274.69348,,,,,0.40579,0.43047,,,,0.18272,67.9583333333333,-25.4583333333333
"4",0,-1005,19.98962,12.05481,13.12296,17.09037,23.80444,27.77184,274.72272,274.71579,,,,,0.4072,0.44074,,,,0.19097,67.9583333333333,-25.375
"5",1,-1429,25.78814,14.95407,16.02222,18.15851,33.57036,49.89777,275.25146,274.509,272.24109,,,272.30511,0.46033,0.55336,0.58515,0.27622,0.2631,0.25715,67.9583333333333,-23.875
"6",0,-1056,18.92148,14.3437,13.12296,28.22962,51.72887,77.36443,278.1127,277.9375,275.98764,274.33722,273.64194,273.35718,0.41999,0.34007,4.53019,1.73306,0.27493,0.23419,67.9583333333333,-18.9583333333333
"7",0,-1109,13.88592,15.86963,15.86963,70.80295,163.42662,146.48885,279.5845,279.2854,276.24509,274.17352,273.69455,273.54697,0.25665,0.38826,3.55843,0.33407,0.47002,0.29969,67.9583333333333,-16.625
"8",0,-448,16.48,11.74963,13.58074,16.3274,21.05777,27.00888,275.09491,274.82581,,,,,0.41136,0.43785,,,,0.28581,67.875,-25.7916666666667
"9",0,-1168,19.98962,11.90222,11.90222,16.3274,25.63555,32.34962,274.95041,274.86374,,,,,0.41154,0.44839,0.22836,,,0.18067,67.875,-25.2916666666667
"10",0,-1200,19.98962,12.05481,11.59703,16.63259,27.46666,32.95999,274.93665,274.82141,,,,,0.40638,0.43673,0.27829,,,0.19638,67.875,-25.2083333333333
"11",0,-1262,20.14222,12.05481,11.44444,17.09037,28.83999,33.87555,274.93365,274.7999,,,,,0.40749,0.43452,0.33263,,0.13768,0.20854,67.875,-25.125
"12",0,-1324,20.29481,12.05481,11.59703,17.70074,28.83999,35.85925,274.93832,274.72134,,,,272.1441,0.41851,0.43113,0.32069,,0.17972,0.2178,67.875,-25.0416666666667
"13",0,-1356,20.59999,11.74963,11.44444,18.61629,29.75555,34.18073,274.95078,274.69696,,,,272.32336,0.43104,0.43829,0.30257,,0.19367,0.2152,67.875,-24.9583333333333
"14",0,-1378,20.90518,11.59703,10.98666,19.22666,30.06073,32.95999,274.97046,274.69498,,,,272.44217,0.44277,0.47395,0.29804,,0.15448,0.20803,67.875,-24.875
"15",0,-1325,27.31407,14.64889,14.64889,16.3274,31.58666,39.97925,275.30212,274.39789,272.65836,,,272.35852,0.4859,0.56555,0.62366,0.3175,0.23441,0.22494,67.875,-23.875
"16",0,-953,21.82074,16.02222,14.03852,31.58666,63.78369,84.68887,278.42581,278.80032,276.44427,275.31693,274.31787,273.85913,0.45051,0.49882,3.5949,1.36192,0.28475,0.23456,67.875,-18.9583333333333
"17",0,-1041,14.3437,16.63259,16.93777,54.62814,170.44588,147.55701,279.81229,279.66055,276.72305,274.62051,273.87415,273.68976,0.26944,0.57324,1.81466,0.85397,0.40232,0.26028,67.875,-16.625
"18",0,-1070,12.81777,12.51259,15.56444,55.69628,93.99702,129.55109,280.02051,279.31808,276.76364,274.45642,273.81445,273.95844,0.2538,0.90197,1.32722,1.20505,1.14237,0.23045,67.875,-15.0416666666667
"19",0,-1153,12.66518,12.51259,15.86963,60.57924,90.33479,130.46663,279.88516,279.24182,276.62946,274.32767,273.69858,273.86157,0.24413,0.68959,1.3592,2.10159,1.06275,,67.875,-14.7916666666667
"20",0,-1179,12.51259,12.36,15.71703,62.25776,89.72442,130.00885,279.82596,279.19879,276.54507,274.23541,273.67786,273.80969,0.23205,0.28807,1.47502,2.90118,1.03198,,67.875,-14.7083333333333
