,vID,da,ti,la2,lo2,bfss,wea,vis,sec,nm,la1,lo1,nobs,spec,pods,sight,rdist,ang,bl_leg,datetime,year,month,platform
1,G,20010628,74600,66.774,-21.223,2,7,1,9,0.024,66.774,-21.224,6.2,oo,1,1,2778,320,"FN,03",28/06/2001 07:46,2001,6,d
2,G,20010628,84208,66.823,-20.892,2,7,2,17,0.047,66.823,-20.894,6.2,ba,1,1,20,5,"FN,03",28/06/2001 08:42,2001,6,d
3,G,20010628,91810,66.855,-20.681,1,4,5,19,0.076,66.854,-20.683,6.2,ba,2,1,1481,15,"FN,03",28/06/2001 09:18,2001,6,d
4,G,20010628,93900,66.86,-20.623,1,4,5,69,0.118,66.86,-20.628,6.2,ba,1,1,222,330,"FN,03",28/06/2001 09:39,2001,6,d
5,G,20010628,94150,66.861,-20.612,1,4,5,119,0.189,66.861,-20.62,6.2,mn,1,1,5556,290,"FN,03",28/06/2001 09:41,2001,6,d
6,G,20010628,94650,66.863,-20.591,1,4,5,59,0.118,66.863,-20.596,6.2,mn,1,1,9260,315,"FN,03",28/06/2001 09:46,2001,6,d
7,G,20010628,95920,66.873,-20.516,1,4,5,89,0.22,66.872,-20.525,6.2,ba,1,1,1852,55,"FN,03",28/06/2001 09:59,2001,6,d
8,G,20010628,100710,66.88,-20.468,1,4,5,79,0.198,66.879,-20.476,6.2,ba,1,1,1481,5,"FN,03",28/06/2001 10:07,2001,6,d
9,G,20010628,100720,66.881,-20.467,1,4,5,10,0.064,66.88,-20.468,6.2,ba,1,1,185,7,"FN,03",28/06/2001 10:07,2001,6,d
10,G,20010628,101210,66.885,-20.438,1,4,5,19,0.047,66.885,-20.44,6.2,ba,1,1,555,0,"FN,03",28/06/2001 10:12,2001,6,d
11,G,20010628,101527,66.888,-20.418,1,4,5,96,0.22,66.887,-20.427,6.2,ba,1,1,1852,25,"FN,03",28/06/2001 10:15,2001,6,d
12,G,20010628,103200,66.902,-20.315,1,4,5,9,0.024,66.902,-20.316,6.2,ba,1,1,1296,290,"FN,03",28/06/2001 10:32,2001,6,d
13,G,20010628,104200,66.911,-20.254,1,4,5,9,0.024,66.911,-20.255,6.2,ba,1,1,1296,32,"FN,03",28/06/2001 10:42,2001,6,d
14,G,20010628,110330,66.93,-20.116,1,4,5,99,0.266,66.929,-20.127,6.2,ba,1,1,2352,353,"FN,03",28/06/2001 11:03,2001,6,d
15,G,20010628,113535,66.959,-19.911,1,4,na,104,0.265,66.958,-19.922,6.2,ba,1,1,700,334,"FN,03",28/06/2001 11:35,2001,6,d
16,G,20010628,113600,66.959,-19.908,1,4,na,9,0.023,66.959,-19.909,6.2,ba,2,1,629,328,"FN,03",28/06/2001 11:36,2001,6,d
17,G,20010628,130947,67.042,-19.311,0,4,na,43,0.117,67.042,-19.316,6.2,ba,1,1,888,355,"FN,03",28/06/2001 13:09,2001,6,d
18,G,20010628,134600,67.074,-19.084,0,4,na,9,0.023,67.074,-19.085,6.2,ba,1,1,1481,315,"FN,03",28/06/2001 13:46,2001,6,d
19,G,20010628,151537,67.151,-18.543,0,4,5,106,0.286,67.15,-18.555,6.2,oo,4,1,300,320,"FN,03",28/06/2001 15:15,2001,6,d
20,G,20010628,151743,67.154,-18.534,0,4,5,112,0.243,67.151,-18.541,6.2,oo,11,1,400,342,"FN,03",28/06/2001 15:17,2001,6,d
21,G,20010628,151851,67.156,-18.532,0,4,5,60,0.122,67.154,-18.533,6.2,oo,25,1,400,327,"FN,03",28/06/2001 15:18,2001,6,d
22,G,20010711,71401,65.036,-10.443,5,5,9,22,0.051,65.036,-10.441,6.2,ba,1,1,70,70,"FN,11",11/07/2001 07:14,2001,7,d
23,G,20010711,101202,65.159,-11.481,6,4,9,23,0.05,65.159,-11.479,6.2,mn,1,1,230,7,"FN,11",11/07/2001 10:12,2001,7,d
24,G,20010711,131700,65.332,-12.462,5,4,na,81,0.185,65.331,-12.455,6.2,mn,2,1,1852,35,"FN,11",11/07/2001 13:17,2001,7,d
25,G,20010711,131900,65.334,-12.473,5,4,na,81,0.185,65.333,-12.466,6.2,mn,2,1,3148,55,"FN,11",11/07/2001 13:19,2001,7,d
26,G,20010711,133925,65.345,-12.49,5,4,na,106,0.269,65.348,-12.482,6.2,mn,2,1,1296,115,"FN,11",11/07/2001 13:39,2001,7,d
27,G,20010711,135701,65.367,-12.527,5,4,na,82,0.209,65.368,-12.519,6.2,mn,1,1,926,340,"FN,11",11/07/2001 13:57,2001,7,d
28,G,20010711,135800,65.366,-12.533,5,4,na,21,0.05,65.366,-12.531,6.2,mn,1,1,1852,40,"FN,11",11/07/2001 13:58,2001,7,d
29,G,20010711,135800,65.366,-12.533,5,4,na,0,0,65.366,-12.533,6.2,mn,1,1,4630,340,"FN,11",11/07/2001 13:58,2001,7,d
30,G,20010711,140200,65.361,-12.551,5,4,na,21,0.025,65.361,-12.55,6.2,mn,1,1,1666,27,"FN,11",11/07/2001 14:02,2001,7,d
31,G,20010711,140208,65.361,-12.552,5,4,na,8,0.025,65.361,-12.551,6.2,mn,1,1,185,90,"FN,11",11/07/2001 14:02,2001,7,d
32,G,20010711,140400,65.359,-12.557,5,4,na,21,0.065,65.36,-12.556,6.2,mn,1,1,1852,49,"FN,11",11/07/2001 14:04,2001,7,d
33,G,20010711,140700,65.358,-12.573,5,4,na,60,0.125,65.358,-12.568,6.2,mn,1,1,740,17,"FN,11",11/07/2001 14:07,2001,7,d
34,G,20010711,140900,65.358,-12.586,5,4,na,0,0,65.358,-12.586,6.2,mn,1,1,926,45,"FN,11",11/07/2001 14:09,2001,7,d
35,G,20010711,140900,65.358,-12.586,5,4,na,0,0,65.358,-12.586,6.2,mn,1,1,1111,35,"FN,11",11/07/2001 14:09,2001,7,d
36,G,20010711,141304,65.359,-12.61,5,4,na,85,0.209,65.358,-12.602,6.2,mn,1,1,300,45,"FN,11",11/07/2001 14:13,2001,7,d
37,G,20010711,141432,65.36,-12.618,5,4,na,53,0.139,65.359,-12.613,6.2,mn,1,1,1852,55,"FN,11",11/07/2001 14:14,2001,7,d
38,G,20010711,142153,65.366,-12.659,5,4,na,14,0.025,65.366,-12.658,6.2,mn,1,1,1296,90,"FN,11",11/07/2001 14:21,2001,7,d
39,G,20010711,143321,65.377,-12.72,5,4,na,102,0.233,65.376,-12.711,6.2,mn,2,1,1852,333,"FN,11",11/07/2001 14:33,2001,7,d
40,G,20010711,152803,65.424,-12.986,5,8,0.3,0,0,65.424,-12.986,6.2,mn,1,1,1481,350,"FN,11",11/07/2001 15:28,2001,7,d
41,G,20010711,153807,65.434,-13.041,5,8,0.3,359,0.876,65.428,-13.009,6.2,mn,1,1,2222,334,"FN,11",11/07/2001 15:38,2001,7,d
42,G,20010711,153807,65.434,-13.041,5,8,0.3,0,0,65.434,-13.041,6.2,mn,1,1,926,320,"FN,11",11/07/2001 15:38,2001,7,d
43,G,20010711,175945,65.717,-13.348,4,8,0.5,71,0.13,65.715,-13.346,6.2,mn,1,1,1852,44,"FN,12",11/07/2001 17:59,2001,7,d
44,G,20010711,180917,65.737,-13.368,4,1,9,43,0.078,65.736,-13.366,6.2,mn,1,1,1111,105,"FN,12",11/07/2001 18:09,2001,7,d
45,G,20010711,180917,65.737,-13.368,4,1,9,0,0,65.737,-13.368,6.2,mn,1,1,35,65,"FN,12",11/07/2001 18:09,2001,7,d
46,G,20010711,181234,65.744,-13.375,4,1,9,120,0.259,65.74,-13.371,6.2,ba,1,1,30,340,"FN,12",11/07/2001 18:12,2001,7,d
47,G,20010711,182505,65.77,-13.4,4,1,9,31,0.065,65.769,-13.399,6.2,mn,2,1,5000,37,"FN,12",11/07/2001 18:25,2001,7,d
48,G,20010711,184443,65.812,-13.389,4,1,9,9,0,65.812,-13.389,6.2,mn,1,1,2222,280,"FN,12",11/07/2001 18:44,2001,7,d
49,G,20010711,184518,65.814,-13.388,4,1,9,35,0.122,65.812,-13.389,6.2,mn,1,1,2222,270,"FN,12",11/07/2001 18:45,2001,7,d
50,G,20010711,184648,65.817,-13.387,4,1,9,14,0.025,65.817,-13.388,6.2,mn,1,1,150,20,"FN,12",11/07/2001 18:46,2001,7,d
51,G,20010711,185004,65.822,-13.379,4,1,9,71,0.13,65.82,-13.381,6.2,mn,1,1,300,40,"FN,12",11/07/2001 18:50,2001,7,d
52,G,20010711,185529,65.832,-13.397,4,2,9,55,0.115,65.831,-13.393,6.2,mn,1,1,2222,313,"FN,12",11/07/2001 18:55,2001,7,d
53,G,20010711,185947,65.839,-13.416,4,2,9,73,0.159,65.838,-13.41,6.2,mn,1,1,2037,287,"FN,12",11/07/2001 18:59,2001,7,d
54,G,20010711,190000,65.84,-13.417,4,2,9,13,0.065,65.839,-13.416,6.2,mn,2,1,2778,352,"FN,12",11/07/2001 19:00,2001,7,d
55,G,20010711,190814,65.854,-13.454,4,2,9,14,0.025,65.854,-13.453,6.2,mn,1,1,185,26,"FN,12",11/07/2001 19:08,2001,7,d
56,G,20010711,191003,65.858,-13.462,4,2,9,3,0,65.858,-13.462,6.2,mn,3,1,555,351,"FN,12",11/07/2001 19:10,2001,7,d
57,G,20010711,191421,65.865,-13.482,4,2,9,39,0.095,65.864,-13.479,6.2,ba,1,1,350,5,"FN,12",11/07/2001 19:14,2001,7,d
58,G,20010711,191451,65.866,-13.484,4,2,9,17,0.025,65.866,-13.483,6.2,ba,1,1,200,315,"FN,12",11/07/2001 19:14,2001,7,d
59,G,20010711,191500,65.866,-13.485,4,2,9,9,0.025,65.866,-13.484,6.2,mn,1,1,926,310,"FN,12",11/07/2001 19:15,2001,7,d
60,G,20010711,191600,65.868,-13.49,4,2,9,0,0,65.868,-13.49,6.2,mn,1,1,300,270,"FN,12",11/07/2001 19:16,2001,7,d
61,G,20010711,191600,65.868,-13.49,4,2,9,0,0,65.868,-13.49,6.2,mn,1,1,300,90,"FN,12",11/07/2001 19:16,2001,7,d
62,G,20010711,191800,65.872,-13.497,4,2,9,86,0.205,65.869,-13.493,6.2,mn,1,1,1852,270,"FN,12",11/07/2001 19:18,2001,7,d
63,G,20010711,191800,65.872,-13.497,4,2,9,0,0,65.872,-13.497,6.2,mn,1,1,2778,270,"FN,12",11/07/2001 19:18,2001,7,d
64,G,20010711,192500,65.888,-13.516,4,2,9,26,0.065,65.887,-13.515,6.2,mn,1,1,1296,270,"FN,12",11/07/2001 19:25,2001,7,d
65,G,20010711,192800,65.895,-13.523,4,2,9,56,0.13,65.893,-13.521,6.2,mn,2,1,7408,335,"FN,12",11/07/2001 19:28,2001,7,d
66,G,20010711,193000,65.9,-13.528,4,2,9,86,0.251,65.896,-13.525,6.2,mn,1,1,3704,325,"FN,12",11/07/2001 19:30,2001,7,d
67,G,20010711,193400,65.909,-13.536,4,2,9,86,0.194,65.906,-13.533,6.2,mn,1,1,1111,290,"FN,12",11/07/2001 19:34,2001,7,d
68,G,20010711,193634,65.915,-13.542,4,2,9,120,0.316,65.91,-13.538,6.2,mn,1,1,4630,318,"FN,12",11/07/2001 19:36,2001,7,d
69,G,20010711,193729,65.917,-13.544,4,2,9,55,0.13,65.915,-13.542,6.2,mn,1,1,4630,335,"FN,12",11/07/2001 19:37,2001,7,d
70,G,20010711,194259,65.93,-13.557,4,2,9,25,0.065,65.929,-13.556,6.2,mn,1,1,400,322,"FN,12",11/07/2001 19:42,2001,7,d
71,G,20010711,195234,65.953,-13.579,4,4,9,120,0.324,65.948,-13.574,6.2,mn,1,1,5556,335,"FN,12",11/07/2001 19:52,2001,7,d
72,G,20010711,195500,65.959,-13.584,4,4,9,26,0.065,65.958,-13.583,6.2,mn,3,1,3241,285,"FN,12",11/07/2001 19:55,2001,7,d
73,G,20010711,195500,65.959,-13.584,4,4,9,0,0,65.959,-13.584,6.2,mn,5,1,3241,270,"FN,12",11/07/2001 19:55,2001,7,d
74,G,20010711,195600,65.961,-13.586,4,4,9,60,0.13,65.959,-13.584,6.2,mn,1,1,1852,318,"FN,12",11/07/2001 19:56,2001,7,d
75,G,20010711,200034,65.972,-13.597,4,4,9,120,0.324,65.967,-13.592,6.2,mn,1,1,4630,349,"FN,12",11/07/2001 20:00,2001,7,d
76,G,20010711,200148,65.975,-13.6,4,4,9,74,0.194,65.972,-13.597,6.2,mn,1,1,3333,17,"FN,12",11/07/2001 20:01,2001,7,d
77,G,20010711,200312,65.978,-13.603,4,4,9,38,0.065,65.977,-13.602,6.2,mn,1,1,4630,9,"FN,12",11/07/2001 20:03,2001,7,d
78,G,20010711,200434,65.982,-13.607,4,4,9,82,0.259,65.978,-13.603,6.2,mn,4,1,4630,353,"FN,12",11/07/2001 20:04,2001,7,d
79,G,20010711,200634,65.986,-13.611,4,4,9,120,0.259,65.982,-13.607,6.2,mn,1,1,3889,274,"FN,12",11/07/2001 20:06,2001,7,d
80,G,20010711,201114,65.998,-13.622,4,4,9,40,0.122,65.996,-13.621,6.2,mn,1,1,2592,36,"FN,12",11/07/2001 20:11,2001,7,d
81,G,20010711,201600,66.009,-13.633,4,4,9,86,0.251,66.005,-13.63,6.2,mn,1,1,981,65,"FN,12",11/07/2001 20:16,2001,7,d
