Survey,Type,Ship,Full name,Year,Periode,ID,Ice/Far,Visible in sightings sheet?,file:tal/,Single/double platform,Dependent/independent,Upper platform 1,nobs upper 1,Upper platform 2,nobs upper 2,Lower platform,nobs lower,Obs,length,tonnage,power,cruising speed,Platform eye height Remarks
A7-87,NASS,"R/V Árni
Friðriksson RE
100",R/V Árni Friðriksson RE 100,1987,0624-0712-28,G,i,y,na87/,d,d,14,1,,,9.1,2,1&2,42.15,449,996,10,14/9.1m Single obs barrel
L22-87,NASS,Keflvíkingur KE,M/V Keflvíkingur KE 100,1987,0624-0728,K,i,y,na87/,d,d,13.8,1,,,8.8,2,1&2,33.9,210,750,9-10,13.8/8.8m Single obs barrel
L22-87,NASS,Skírnir AK,M/V Skírnir AK 16,1987,0624-0728,S,i,y,na87/,d,d,13.8,1,,,9.4,3,1&3,37.8,233,660,9.5-10.5,13.8/9.3m Single obs barrel 
FI x-87,NASS,Hviti Klettur.fo,M/V Hvítaklettur,1987,0617-0812,F,f,n,na87/,s,d,,,,,6.2,3,3,34.7,276,550,10,6.2m no barrel 
A8-89,NASS,AF,R/V Árni Friðriksson RE 100,1989,0710-26-0814,G,i,y,na89/,d,d,13.8,1,,,9,3,1&3,42.15,449,996,10,13.8/9m Single obs barrel 
L14-89,NASS,Barðinn GK,M/V Barðinn,1989,0711-26-0814,S,i,y,na89/,d,d,13.8,1,,,9.3,3,1&3,37.8,233,660,9.5-10.5,13.8/9.3m Single obs barrel; same vessel as Skírnir 87
L15-89,NASS,Hvalur8,M/V Hvalur 8,1989,0727-0813,I,i,y,na89/,d,d,19,1,14.5,1,10,3,1&1&3,48.2,481,1800,10-11,19&14.5/10m Two single barrels 
L15-89,NASS,Hvalur9,M/V Hvalur 9,1989,0727-0813,J,i,y,na89/,d,d,20.7,1,14.5,1,10.5,3,1&1&3,51.2,631,1900,10-11,20.7&14.5/10.5m Two single barrels 
FI x-89,NASS,Olivar Halgi.fo,Ólavur Halgi,1989,0722-0815,F,f,n,na89/,d,d,13,1,,,8.2,3,1&3,55,792,1470,10,13/8.2m 2 in Barrel 
L49-95,NASS,Strákur,M/V Strákur GK (STR),1995,0622-0717-0804,S,i,y,na95/,d,d,15.5,1,,,10.5,3,1&3,38.1,329,,9-10,15.5/10.5m Single obs barrel; also survey nr 65
A10-95,NASS,AF RE100,R/V Árni Friðriksson RE 100,1995,"0703-18,19-0801",G,i,y,na95/,d,d,14.5,1,,,9,3,1&3,42.15,449,996,10,14.5/9m Single obs barrel; also database A11-95
FI x-95,NASS,Miðvingur.fo,M/V Miðvingur (MID),1995,0708-0806,F,f,n,na95/fo,d,d,11.5,3,,,9.4,2,3&2,36,266,500,9.5,BT 11.5/9.35(5.5m bridge)
B8-2001,NASS-Redfish,BS,R/V Bjarni Sæmundsson RE 30 (BS),2001,0621-0712,B,i,y,na01/bs,d,i,16.3,3,,,10.3,2,3&2,56,822,1800,8.5-11.5,16.3/10.3m I/O platf (BT) - redfish
Xx-2001,NASS,AF RE100,R/V Árni Friðriksson RE 100,2001,0625-0729,G,i,y,na01/af1,d,i,13.9,4,,,9,2,4&2,42.15,449,996,10,13.9/9m I/O platf (BT)
A8-2001,NASS-Redfish,AF RE200,R/V Árni Friðriksson RE 200 (AF2),2001,0621-0712,A,i,y,na01/af2,d,i,18.6,3,,,15.3,2,3&2,69.9,2233,5710,8.5-11.5,18.6/15.3m I/O platf (BT) - redfish
FI x-01,NASS,West Freez.fo,West Freezer (WF),2001,0629-0725,F,f,n,na01/fo,d,i,13.8,2,,,11,3,3&2,42,486,750,11,11/13.8m I/O platf (BT reversed)
JB x-07,TNASS,FI JákupB KG7,,2007,0628-0723,J,i,y,na07/,d,i,12.2,4,,,10.1,2,4&2,,,,,BT 12.24/10.09 ÞG
VE01-2007,TNASS,FI Venus VE 51,,2007,0701-0723,V,i,y,na07/,d,i,11.9,4,,,8.9,2,4&2,,,,,BT 11.90/8.90 GD SDH
A10-2007,TNASS-Redfish,AF RE200,R/V Árni Friðriksson RE 200 (AF2),2007,0625-0724,A,i,y,na07/,d,i,18.6,4,,,15.3,2,4&2,69.9,2233,5710,8.5-11.5,BT 18.6/15.3m GAV - redfish
FI x-07,TNASS,MarsChaser.fo,,2007,0715-0807,F,f,n,na07/,d,i,10.9,4,,,8.8,2,4&2,,,,,BT 10.85/8.82
A6-2015,NASS-Redfish,AF RE200,R/V Árni Friðriksson RE 200 (AF2),2015,0610-0630,A,i,y,na15/,d,i,18.6,2,,,15.3,2,2&2+,69.9,2233,5710,8.5-11.5,18.6/15.3m I/O GAV (CL KK)
A7-2015,NASS-Mackerel,AF RE200,R/V Árni Friðriksson RE 200 (AF2),2015,0706-0810,A,i,y,na15/,d,i,18.6,2,,,15.3,2,2&2+,69.9,2233,5710,8.5-11.5,18.6/15.3m I/O DavíðG (CL SigÞJ)
B5-2015,NASS,BS RE30,R/V Bjarni Sæmundsson RE 30 (BS),2015,0609-0702,B,i,y,na15/,d,i,16.3,2,,,10.3,2,2&2+,56,822,1800,8.5-11.5,16.3/10.3m I/O ThG
B6-2015,NASS,BS RE30,R/V Bjarni Sæmundsson RE 30 (BS),2015,0706-0726,B,i,y,na15/,d,i,16.3,2,,,10.3,2,2&2+,56,822,1800,8.5-11.5,16.3/10.3m I/O ThG
FI HK-15,NASS,Högiklettur 65m,,2015,0701-0802,F,f,n,na15/,d,i,12.8,3,,,12.8,3,3&3,,,,,12.8&12.8 parallel Bjarni Mikkelsen
